Product_ID,Date,Forecast_Week,SARIMA_Forecast,Prophet_Forecast,Prophet_Lower,Prophet_Upper
874972,2021-12-22,1,152.09315087525835,102.04796904905636,-42.085919728133625,239.6371342316681
874972,2021-12-29,2,152.09315087525835,103.14412626129516,-47.75997263340006,242.94447963137077
874972,2022-01-05,3,152.09315087525835,131.69838191704127,-12.444259351349924,273.81376888988535
874972,2022-01-12,4,152.09315087525835,178.0766284526404,39.55824293170615,321.90044503234515
874972,2022-01-19,5,152.09315087525835,217.8614051809983,83.93968958051768,362.3753646701858
874972,2022-01-26,6,152.09315087525835,225.020392636784,91.17310847327742,370.5333037062064
874972,2022-02-02,7,152.09315087525835,198.975001967349,78.44286131049638,340.43289065210735
874972,2022-02-09,8,152.09315087525835,175.55498719303546,35.306451842214045,300.5482108548872
874972,2022-02-16,9,152.09315087525835,197.685232278551,58.39503683885784,332.4100261127783
874972,2022-02-23,10,152.09315087525835,267.7331346177195,136.13331219392904,408.2530488707518
874972,2022-03-02,11,152.09315087525835,335.79006837693527,188.7800712476418,482.2543587292242
874972,2022-03-09,12,152.09315087525835,346.95256171125664,200.8504535456825,492.39125891054226
1126899,2021-12-22,1,147.67977562319703,196.17333418605375,138.2510395063755,248.95534795780392
1126899,2021-12-29,2,206.50860784187904,194.87703840431973,138.28680498002817,246.98786518268716
1126899,2022-01-05,3,163.9451986874767,177.57000764696332,121.78804084080508,231.25685650100203
1126899,2022-01-12,4,202.33828600957656,145.33449004112484,92.84739394023113,196.85630327180553
1126899,2022-01-19,5,175.69915150856272,118.92897166028112,68.08355729234374,169.96730204432555
1126899,2022-01-26,6,193.9022276773901,119.59287580410462,68.36662943787103,171.51441891718147
1126899,2022-02-02,7,179.13193548051458,144.27880110481053,95.73958483311624,198.89542095055043
1126899,2022-02-09,8,190.24890706746663,166.15325993208788,112.86177413398812,219.3761632635241
1126899,2022-02-16,9,182.43824699647385,163.0669184389768,108.93613653575062,215.20532424000368
1126899,2022-02-23,10,188.36877660299822,142.0307182365782,89.07282897492529,198.9775792871917
1126899,2022-03-02,11,183.83918769258094,130.23559696290147,78.36237067782648,182.1059727489352
1126899,2022-03-09,12,187.1288371671854,142.37300334610381,93.37674535720882,195.63823878628796
1005186,2021-12-22,1,162.68244795026752,170.9198310068788,133.3109752280883,210.21191134448725
1005186,2021-12-29,2,151.25272621211394,165.06847495254968,124.36063016836562,204.76733739748457
1005186,2022-01-05,3,144.510515209773,150.5110496504486,109.82716312853448,189.30047781695515
1005186,2022-01-12,4,148.58018550045026,132.20167010428273,94.32260211958692,167.56997957373164
1005186,2022-01-19,5,152.5296777583166,119.78626040866351,79.9094001749775,158.04674496322545
1005186,2022-01-26,6,151.3787562266781,120.0305095961867,82.66964473021429,158.5218982754085
1005186,2022-02-02,7,149.3025354652763,130.11562315165654,90.9770889670717,167.61592400093699
1005186,2022-02-09,8,149.4433765905065,139.737116045782,99.97618392387436,176.72446082111472
1005186,2022-02-16,9,150.44548344580673,141.33270513102022,103.6827857550595,182.33115578691223
1005186,2022-02-23,10,150.5722311514312,137.85701568886196,100.721195581302,179.42819112631705
1005186,2022-03-02,11,150.1260362892482,138.86374963243975,101.38797580762665,175.26272154918206
1005186,2022-03-09,12,149.9806310678155,148.65865062490388,109.04130410951332,188.1240127844356
5569471,2021-12-22,1,126.10852941176475,183.93641114827633,32.4647785748165,355.9671834297046
5569471,2021-12-29,2,126.10852941176475,170.51180406928273,1.458848123224927,336.8780705587093
5569471,2022-01-05,3,126.10852941176475,128.84664618630063,-42.5401125142997,294.3797309160467
5569471,2022-01-12,4,126.10852941176475,102.85776018040593,-73.34807051033658,276.82323466652247
5569471,2022-01-19,5,126.10852941176475,119.25811331428585,-49.85140355442273,281.24406642684005
5569471,2022-01-26,6,126.10852941176475,150.95620954872953,-15.1998010255246,303.9708461502363
5569471,2022-02-02,7,126.10852941176475,154.16285425827698,0.47235256457063945,321.06228920042344
5569471,2022-02-09,8,126.10852941176475,129.98127765297113,-53.93152460634316,290.3750238596941
5569471,2022-02-16,9,126.10852941176475,125.24371180723566,-49.33544213300105,288.28719596481767
5569471,2022-02-23,10,126.10852941176475,166.37061267269308,-3.9611999243575027,336.26211703142195
5569471,2022-03-02,11,126.10852941176475,212.89769484774484,37.30478888140934,376.6064329462415
5569471,2022-03-09,12,126.10852941176475,199.46697173843248,22.920149183808363,367.5588041431634
1070820,2021-12-22,1,141.39655544126109,153.8530298422708,101.84385221836418,203.70969098937346
1070820,2021-12-29,2,155.23643635162543,154.66224833070336,103.91975927804637,202.34676237646121
1070820,2022-01-05,3,143.4576143064879,139.52108233981394,89.17362584220275,186.1310546260645
1070820,2022-01-12,4,149.87361374715297,115.11283295403356,68.2959647067798,165.10462233870135
1070820,2022-01-19,5,143.46342312552034,106.37089803339799,59.06379332991905,153.66210464494338
1070820,2022-01-26,6,146.187884125548,126.75760932639274,75.23906098451019,180.21694534468904
1070820,2022-02-02,7,142.4974729550194,158.7906182136029,106.7196020668859,206.34545613002473
1070820,2022-02-09,8,143.3995252303423,170.88577721701202,122.08408677327249,218.16684302653385
1070820,2022-02-16,9,141.09953480273404,152.76349114196157,104.96439956391966,202.9597581173272
1070820,2022-02-23,10,141.11447904493738,127.58143900189495,75.17278450591235,179.929724200619
1070820,2022-03-02,11,139.53703211100205,125.33812879507181,76.01770898776248,176.21009436365168
1070820,2022-03-09,12,139.13218303051795,148.21040690925417,100.36442937129762,196.72598022191693
951590,2021-12-22,1,108.56016849916043,132.03073934332662,95.916751135876,165.1711074570806
951590,2021-12-29,2,99.64381712515085,135.22551139965375,100.29673162374566,166.88182620405465
951590,2022-01-05,3,93.00607127194455,127.6066188209152,93.7263496399825,162.16377252111963
951590,2022-01-12,4,88.06462513959633,112.2998195260006,78.09727001262559,144.5263623618078
951590,2022-01-19,5,84.38598326042519,98.58714137145529,64.13943184783959,134.60463612901165
951590,2022-01-26,6,81.6474314857525,92.37214696480528,56.98513398096804,127.86303773504291
951590,2022-02-02,7,79.60872642315132,91.17753204904258,58.88781649204853,124.96485400823282
951590,2022-02-09,8,78.09101973937958,88.8609536271585,52.21314237150304,123.8774053749856
951590,2022-02-16,9,76.96116843316538,83.89662214169735,50.34312194989845,118.49445356863728
951590,2022-02-23,10,76.12005467396295,81.26521473332235,46.40679776759084,116.39859533351827
951590,2022-03-02,11,75.49389054773808,86.05667626133058,49.325188627933656,121.3651676772735
951590,2022-03-09,12,75.02774490610365,96.85519014799216,61.16157996030797,131.12686096076285
866211,2021-12-22,1,131.83512295398742,198.45142924686883,148.54343994556518,250.45233741535654
866211,2021-12-29,2,131.83512295398742,213.9270981276706,162.62729471619963,262.8441453768048
866211,2022-01-05,3,131.83512295398742,199.73408019209757,152.0571896120773,251.2879215627343
866211,2022-01-12,4,131.83512295398742,161.69067661244813,112.5343530862422,209.23783792238495
866211,2022-01-19,5,131.83512295398742,130.55049450800124,76.87745025229393,179.70131728682142
866211,2022-01-26,6,131.83512295398742,130.78795797476403,81.52990911861643,180.95161829471246
866211,2022-02-02,7,131.83512295398742,154.36548143774434,102.533038661836,204.98856488453706
866211,2022-02-09,8,131.83512295398742,169.45346505239704,113.03430705540706,222.0670743426387
866211,2022-02-16,9,131.83512295398742,155.2575978929553,104.18571838026402,209.7967139574678
866211,2022-02-23,10,131.83512295398742,124.29538318645558,77.56101970523488,174.8408000667457
866211,2022-03-02,11,131.83512295398742,107.5698501335317,55.258232220439496,162.10251896454287
866211,2022-03-09,12,131.83512295398742,120.16330521554701,67.38646585385747,167.51668746760222
981760,2021-12-22,1,128.8365902442593,170.37797984768588,116.51730915065616,219.61919591520618
981760,2021-12-29,2,132.62405758608304,154.17847685842204,103.86425422498701,206.8291425199108
981760,2022-01-05,3,133.5831604719087,127.35795185885378,76.0731637063821,177.39139768653635
981760,2022-01-12,4,133.82603473657662,114.74265569231044,64.37887055261169,168.5173581047162
981760,2022-01-19,5,133.88753794891153,125.63073846491503,74.51693648076353,177.44190102429937
981760,2022-01-26,6,133.90311244846868,143.8749902113714,89.07952378708447,198.81673186875858
981760,2022-02-02,7,133.9070563893987,144.64352549344486,95.29096902042933,199.12212731822405
981760,2022-02-09,8,133.9080551161958,119.85353644043462,65.7867974316771,166.4157210369141
981760,2022-02-16,9,133.90830802445,86.04721895418902,32.75104476388235,136.64351382251945
981760,2022-02-23,10,133.90837206857623,68.1154706363076,14.06371660793287,119.48737903593808
981760,2022-03-02,11,133.90838828651312,76.70439770004276,25.071377544930233,128.90990926154436
981760,2022-03-09,12,133.90839239339212,100.8784832780471,50.65903906457018,153.79427378504775
8090521,2021-12-22,1,114.05862745098041,178.46820065249736,65.05441558181052,287.20853339389896
8090521,2021-12-29,2,114.05862745098041,196.37927909199482,85.42298742133991,300.70333381300617
8090521,2022-01-05,3,114.05862745098041,141.4496056462592,36.0858736050595,245.32349155318164
8090521,2022-01-12,4,114.05862745098041,72.15247176380359,-35.253412522034026,180.68685453084686
8090521,2022-01-19,5,114.05862745098041,60.36558344264013,-51.25805113078223,161.2012153418484
8090521,2022-01-26,6,114.05862745098041,105.87867876592844,1.3206686695660192,213.9204694484316
8090521,2022-02-02,7,114.05862745098041,139.11859585530868,36.20853509898992,247.08293069569868
8090521,2022-02-09,8,114.05862745098041,107.98052488370817,6.853833878222499,203.98078642599097
8090521,2022-02-16,9,114.05862745098041,44.21479895425887,-55.709628159358374,150.61351447815437
8090521,2022-02-23,10,114.05862745098041,29.760823284345335,-79.67279801794177,137.69666401854505
8090521,2022-03-02,11,114.05862745098041,102.07530075186268,-5.57682931317689,211.64017661630484
8090521,2022-03-09,12,114.05862745098041,208.150933549342,95.07405829609388,312.36766607354696
986912,2021-12-22,1,101.67317424267256,107.4485167816254,78.96492613752073,135.87518676240126
986912,2021-12-29,2,101.21851740274406,99.6485696295825,73.33169768599168,128.34167111080995
986912,2022-01-05,3,100.76589367374804,88.92968039649804,60.52498886412844,116.89085709468189
986912,2022-01-12,4,100.31529396412424,76.12281324307597,48.24297668062688,104.62916678608515
986912,2022-01-19,5,99.86670922296756,64.17168564904992,36.00926287799508,92.5603585520167
986912,2022-01-26,6,99.42013043984625,57.93531681431064,28.364944878133855,88.67489999749712
986912,2022-02-02,7,98.97554864462097,60.87241122510966,32.38547445285332,92.6335932046259
986912,2022-02-09,8,98.53295490726457,71.48848155153907,44.680915346615116,101.38052847966468
986912,2022-02-16,9,98.09234033768273,83.5595163396736,58.58838361833584,113.1875347638226
986912,2022-02-23,10,97.6536960855354,90.61897899957964,61.94108744957063,117.58208295955558
986912,2022-03-02,11,97.21701334005903,90.77529104343984,61.29274112383992,120.54045930568334
986912,2022-03-09,12,96.78228332988957,87.51043303573901,58.88993533201123,115.7698244002304
8090537,2021-12-22,1,107.59294117647059,215.08063299468625,103.98166190916874,326.2579416258421
8090537,2021-12-29,2,107.59294117647059,232.00417314475993,114.77329111612282,342.20236150237906
8090537,2022-01-05,3,107.59294117647059,155.24388076953954,42.97904490888028,259.59765891893863
8090537,2022-01-12,4,107.59294117647059,62.72665855757483,-53.36550579480803,167.80708014726278
8090537,2022-01-19,5,107.59294117647059,42.496514157992166,-71.37570491610187,157.61832197080582
8090537,2022-01-26,6,107.59294117647059,92.45419733199111,-14.430633390642273,202.78448093635606
8090537,2022-02-02,7,107.59294117647059,129.6949030746668,22.954913786180526,239.29547607790897
8090537,2022-02-09,8,107.59294117647059,95.15563110878108,-8.873183255981438,210.2265759194156
8090537,2022-02-16,9,107.59294117647059,27.104948241711156,-85.51467194087388,137.04758128888662
8090537,2022-02-23,10,107.59294117647059,16.933430439190502,-90.55775680541464,133.02328147278837
8090537,2022-03-02,11,107.59294117647059,101.13126592498624,-8.893161808669062,213.93923824314678
8090537,2022-03-09,12,107.59294117647059,215.86204897033585,113.3794306482432,329.1239635094095
854852,2021-12-22,1,119.05778772572378,93.59012228378322,57.29383950075419,127.3252426505188
854852,2021-12-29,2,94.27340867664108,90.47102616723589,56.00892964009807,122.27345125317187
854852,2022-01-05,3,108.12334687049628,101.71861939624807,70.37900407184209,135.27472593750844
854852,2022-01-12,4,99.20032252452941,121.18632514820393,87.07403280930234,153.69541197798762
854852,2022-01-19,5,103.86676989334083,137.15300333255811,108.14362416235528,169.53578485601867
854852,2022-01-26,6,100.56777863519291,143.78625976006205,107.79139110740164,177.18946298726829
